token,date,time,open,high,low,close
bitcoin,2024-12-31,00:00:00,94335.0,94838.0,91723.0,92627.0
bitcoin,2024-12-31,04:00:00,92666.0,92666.0,91942.0,92354.0
bitcoin,2024-12-31,08:00:00,92411.0,92776.0,92213.0,92776.0
bitcoin,2024-12-31,12:00:00,92719.0,94423.0,92719.0,94080.0
bitcoin,2024-12-31,16:00:00,94089.0,95988.0,94089.0,95337.0
bitcoin,2024-12-31,20:00:00,95264.0,95374.0,93215.0,93937.0
bitcoin,2025-01-01,00:00:00,94000.0,94038.0,93267.0,93508.0
bitcoin,2025-01-01,04:00:00,93400.0,94272.0,93376.0,93618.0
bitcoin,2025-01-01,08:00:00,93594.0,93685.0,93343.0,93554.0
bitcoin,2025-01-01,12:00:00,93474.0,93534.0,92852.0,93298.0
bitcoin,2025-01-01,16:00:00,93263.0,94217.0,93254.0,94160.0
bitcoin,2025-01-01,20:00:00,94257.0,94626.0,93564.0,94410.0
bitcoin,2025-01-02,00:00:00,94469.0,94895.0,94384.0,94384.0
bitcoin,2025-01-02,04:00:00,94385.0,95167.0,94253.0,94830.0
bitcoin,2025-01-02,08:00:00,94865.0,95780.0,94865.0,95581.0
bitcoin,2025-01-02,12:00:00,95719.0,96755.0,95583.0,96525.0
bitcoin,2025-01-02,16:00:00,96654.0,97189.0,95911.0,96430.0
bitcoin,2025-01-02,20:00:00,96386.0,97533.0,96051.0,97433.0
bitcoin,2025-01-03,00:00:00,97566.0,97723.0,96633.0,96852.0
bitcoin,2025-01-03,04:00:00,96898.0,97180.0,96620.0,96994.0
bitcoin,2025-01-03,08:00:00,96947.0,96947.0,96260.0,96261.0
bitcoin,2025-01-03,12:00:00,96250.0,96772.0,96010.0,96664.0
bitcoin,2025-01-03,16:00:00,96705.0,97473.0,96406.0,97398.0
bitcoin,2025-01-03,20:00:00,97495.0,98971.0,97400.0,98547.0
bitcoin,2025-01-04,00:00:00,98378.0,98740.0,98042.0,98084.0
bitcoin,2025-01-04,04:00:00,98116.0,98231.0,97796.0,98194.0
bitcoin,2025-01-04,08:00:00,98190.0,98255.0,97865.0,98192.0
bitcoin,2025-01-04,12:00:00,98256.0,98256.0,97596.0,97887.0
bitcoin,2025-01-04,16:00:00,97854.0,98131.0,97590.0,97706.0
bitcoin,2025-01-04,20:00:00,97660.0,98237.0,97623.0,98188.0
bitcoin,2025-01-05,00:00:00,98177.0,98695.0,98157.0,98257.0
bitcoin,2025-01-05,04:00:00,98211.0,98359.0,98022.0,98122.0
bitcoin,2025-01-05,08:00:00,98166.0,98475.0,98166.0,98275.0
bitcoin,2025-01-05,12:00:00,98246.0,98246.0,97577.0,97597.0
bitcoin,2025-01-05,16:00:00,97618.0,98155.0,97292.0,98012.0
bitcoin,2025-01-05,20:00:00,97980.0,98195.0,97576.0,98012.0
bitcoin,2025-01-06,00:00:00,98030.0,98772.0,98018.0,98365.0
bitcoin,2025-01-06,04:00:00,98350.0,99252.0,97951.0,98982.0
bitcoin,2025-01-06,08:00:00,98996.0,99840.0,98996.0,99374.0
bitcoin,2025-01-06,12:00:00,99309.0,99534.0,98688.0,99221.0
bitcoin,2025-01-06,16:00:00,99223.0,102406.0,98724.0,102406.0
bitcoin,2025-01-06,20:00:00,102132.0,102482.0,101379.0,101878.0
ethereum,2024-12-31,00:00:00,3400.12,3413.97,3302.16,3359.51
ethereum,2024-12-31,04:00:00,3358.67,3358.67,3313.83,3335.61
ethereum,2024-12-31,08:00:00,3337.32,3354.07,3328.94,3349.72
ethereum,2024-12-31,12:00:00,3348.44,3400.67,3348.44,3390.88
ethereum,2024-12-31,16:00:00,3390.2,3436.48,3389.72,3412.08
ethereum,2024-12-31,20:00:00,3407.91,3409.17,3331.55,3352.0
ethereum,2025-01-01,00:00:00,3352.58,3356.05,3327.53,3336.62
ethereum,2025-01-01,04:00:00,3331.96,3361.78,3331.96,3348.76
ethereum,2025-01-01,08:00:00,3347.03,3347.03,3332.97,3338.44
ethereum,2025-01-01,12:00:00,3336.99,3339.22,3313.15,3333.06
ethereum,2025-01-01,16:00:00,3334.39,3350.26,3322.5,3343.78
ethereum,2025-01-01,20:00:00,3347.22,3356.38,3319.07,3348.4
ethereum,2025-01-02,00:00:00,3349.29,3363.92,3345.49,3348.97
ethereum,2025-01-02,04:00:00,3352.22,3394.72,3351.01,3386.3
ethereum,2025-01-02,08:00:00,3384.91,3417.52,3383.47,3409.3
ethereum,2025-01-02,12:00:00,3415.83,3470.36,3414.1,3465.02
ethereum,2025-01-02,16:00:00,3468.98,3492.24,3444.35,3462.61
ethereum,2025-01-02,20:00:00,3460.78,3484.23,3433.05,3465.23
ethereum,2025-01-03,00:00:00,3465.99,3469.85,3428.38,3448.14
ethereum,2025-01-03,04:00:00,3451.22,3471.7,3442.94,3467.52
ethereum,2025-01-03,08:00:00,3466.75,3466.75,3431.27,3433.13
ethereum,2025-01-03,12:00:00,3431.59,3463.26,3421.77,3463.26
ethereum,2025-01-03,16:00:00,3462.23,3562.21,3461.49,3562.21
ethereum,2025-01-03,20:00:00,3566.2,3621.98,3566.2,3617.51
ethereum,2025-01-04,00:00:00,3614.82,3620.21,3597.96,3604.29
ethereum,2025-01-04,04:00:00,3606.12,3614.01,3583.67,3595.23
ethereum,2025-01-04,08:00:00,3595.04,3605.99,3585.1,3596.3
ethereum,2025-01-04,12:00:00,3596.32,3599.71,3577.06,3599.26
ethereum,2025-01-04,16:00:00,3600.0,3652.27,3600.0,3608.2
ethereum,2025-01-04,20:00:00,3607.53,3639.42,3606.04,3632.27
ethereum,2025-01-05,00:00:00,3631.76,3664.27,3631.76,3660.38
ethereum,2025-01-05,04:00:00,3656.82,3668.13,3631.51,3634.83
ethereum,2025-01-05,08:00:00,3636.39,3647.45,3630.47,3631.02
ethereum,2025-01-05,12:00:00,3630.48,3630.48,3608.13,3610.4
ethereum,2025-01-05,16:00:00,3611.1,3632.49,3597.66,3630.96
ethereum,2025-01-05,20:00:00,3629.17,3641.47,3617.67,3633.58
ethereum,2025-01-06,00:00:00,3634.68,3658.85,3628.69,3635.85
ethereum,2025-01-06,04:00:00,3635.09,3678.49,3612.77,3664.25
ethereum,2025-01-06,08:00:00,3663.15,3691.96,3648.17,3651.77
ethereum,2025-01-06,12:00:00,3649.78,3657.09,3634.0,3651.16
ethereum,2025-01-06,16:00:00,3652.44,3705.38,3622.05,3705.38
ethereum,2025-01-06,20:00:00,3705.48,3737.69,3664.02,3692.76
litecoin,2024-12-31,00:00:00,101.16,102.05,98.07,99.18
litecoin,2024-12-31,04:00:00,99.27,99.27,98.2,98.32
litecoin,2024-12-31,08:00:00,98.4,98.65,97.88,98.57
litecoin,2024-12-31,12:00:00,98.6,102.12,98.6,102.07
litecoin,2024-12-31,16:00:00,102.15,104.49,102.15,104.05
litecoin,2024-12-31,20:00:00,104.06,104.38,101.68,103.1
litecoin,2025-01-01,00:00:00,102.96,103.68,102.57,103.08
litecoin,2025-01-01,04:00:00,102.98,105.02,102.98,104.17
litecoin,2025-01-01,08:00:00,104.1,104.85,103.72,104.23
litecoin,2025-01-01,12:00:00,104.05,104.05,102.2,103.63
litecoin,2025-01-01,16:00:00,103.55,104.73,103.47,104.53
litecoin,2025-01-01,20:00:00,104.74,106.51,104.02,106.29
litecoin,2025-01-02,00:00:00,106.5,107.5,104.62,104.62
litecoin,2025-01-02,04:00:00,104.82,107.68,104.82,105.79
litecoin,2025-01-02,08:00:00,105.72,106.62,105.45,105.79
